Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,
Russia,Central and Eastern Europe,70,5.661,1.68,1.383,0.366,0.449,0.12,0.091,1.572,,,,,,,
Saudi Arabia,MENA,30,6.463,1.861,1.37,0.351,0.682,0.093,0.17,1.936,,,,,,,
Senegal,Sub-Saharan Africa,102,4.855,0.943,0.727,0.231,0.519,0.142,0.06,2.234,,,,,,,
Serbia,Central and Eastern Europe,45,6.144,1.552,1.343,0.424,0.617,0.246,0.081,1.881,,,,,,,
Sierra Leone,Sub-Saharan Africa,135,3.138,0.67,0.54,0.092,0.371,0.193,0.051,1.221,,,,,,,
Singapore,Southeastern Asia,25,6.587,2.168,1.354,0.607,0.66,0.17,0.561,1.067,,,,,,,
Slovakia,Central and Eastern Europe,29,6.469,1.731,1.544,0.472,0.494,0.128,0.022,2.078,,,,,,,
Slovenia,Central and Eastern Europe,22,6.65,1.815,1.539,0.532,0.707,0.144,0.113,1.799,,,,,,,
South Africa,Sub-Saharan Africa,85,5.275,1.417,1.428,0.149,0.464,0.09,0.019,1.708,,,,,,,
South Korea,Eastern Asia,57,5.951,1.853,1.188,0.603,0.446,0.112,0.163,1.587,,,,,,,
Spain,Western Europe,32,6.436,1.798,1.491,0.567,0.533,0.101,0.157,1.789,,,,,,,
Sri Lanka,Southern Asia,112,4.442,1.422,1.224,0.426,0.539,0.12,0.086,0.625,,,,,,,
Sweden,Western Europe,6,7.395,1.921,1.51,0.562,0.754,0.225,0.52,1.903,,,,,,,
Switzerland,Western Europe,8,7.24,2.022,1.463,0.582,0.678,0.151,0.475,1.87,,,,,,,
Taiwan,Eastern Asia,27,6.535,1.89,1.372,0.492,0.562,0.067,0.178,1.974,,,,,,,
Tajikistan,Central and Eastern Europe,80,5.33,0.972,1.248,0.291,0.599,0.104,0.292,1.823,,,,,,,
Tanzania,Sub-Saharan Africa,129,3.694,0.836,0.787,0.214,0.607,0.234,0.269,0.747,,,,,,,
Thailand,Southeastern Asia,60,5.843,1.515,1.344,0.461,0.624,0.291,0.013,1.594,,,,,,,
Togo,Sub-Saharan Africa,122,4.137,0.77,0.642,0.161,0.367,0.149,0.136,1.913,,,,,,,
Tunisia,MENA,110,4.497,1.333,0.981,0.422,0.259,0.022,0.016,1.463,,,,,,,
Turkiye,MENA,106,4.614,1.714,1.148,0.467,0.125,0.095,0.096,0.969,,,,,,,
Uganda,Sub-Saharan Africa,113,4.432,0.785,1.144,0.201,0.425,0.197,0.051,1.628,,,,,,,
Ukraine,Central and Eastern Europe,92,5.071,1.358,1.354,0.355,0.551,0.265,0.016,1.172,,,,,,,
United Arab Emirates,MENA,26,6.571,2.015,1.223,0.401,0.745,0.188,0.247,1.752,,,,,,,
United Kingdom,Western Europe,19,6.796,1.857,1.366,0.511,0.626,0.272,0.34,1.822,,,,,,,
United States,North America,15,6.894,1.98,1.46,0.39,0.557,0.21,0.172,2.124,,,,,,,
Uruguay,Latin America and Caribbean,28,6.494,1.617,1.445,0.435,0.683,0.102,0.254,1.958,,,,,,,
Uzbekistan,Central and Eastern Europe,54,6.014,1.227,1.347,0.375,0.74,0.26,0.208,1.856,,,,,,,
Venezuela,Latin America and Caribbean,88,5.211,0,1.257,0.341,0.369,0.205,0.084,2.955,,,,,,,
Vietnam,Southeastern Asia,65,5.763,1.349,1.212,0.381,0.741,0.134,0.122,1.824,,,,,,,
Zambia,Sub-Saharan Africa,128,3.982,0.914,0.89,0.095,0.545,0.189,0.08,1.27,,,,,,,
Zimbabwe,Sub-Saharan Africa,134,3.204,0.758,0.881,0.069,0.363,0.112,0.117,0.905,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
