Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom ,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,,,
Morocco,MENA,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2.449,,,,,,,,,,,,,,,
Myanmar,Southeastern Asia,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.667,,,,,,,,,,,,,,,
Nepal,Southern Asia,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,1.782,,,,,,,,,,,,,,,
Netherlands,Western Europe,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2.448,,,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2.156,,,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2.591,,,,,,,,,,,,,,,
Niger,"Sub-Saharan Africa
",134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2.283,,,,,,,,,,,,,,,
Nigeria,"Sub-Saharan Africa
",91,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2.551,,,,,,,,,,,,,,,
Norway,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2.383,,,,,,,,,,,,,,,
Pakistan,Southern Asia,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2.923,,,,,,,,,,,,,,,
Palestine,MENA,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076,1.854,,,,,,,,,,,,,,,
Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2.336,,,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,1.932,,,,,,,,,,,,,,,
Peru,Latin America and Caribbean,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2.15,,,,,,,,,,,,,,,
Philippines,Southeastern Asia,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2.056,,,,,,,,,,,,,,,
Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2,,,,,,,,,,,,,,,
Portugal,Western Europe,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017,1.275,,,,,,,,,,,,,,,
Romania,Central and Eastern Europe,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2.267,,,,,,,,,,,,,,,
Russia,Central and Eastern Europe,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2.092,,,,,,,,,,,,,,,
Saudi Arabia,MENA,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.294,,,,,,,,,,,,,,,
Senegal,"Sub-Saharan Africa
",109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2.026,,,,,,,,,,,,,,,
