Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,3.50733,,,,,,,,,,,,,
Bulgaria,Central and Eastern Europe,129,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,1.15377,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,145,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,1.87319,,,,,,,,,,,,,
Cameroon,Sub-Saharan Africa,114,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126,2.5198,,,,,,,,,,,,,
Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,,,,,,,,,,,,,
Chad,Sub-Saharan Africa,144,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,2.30637,,,,,,,,,,,,,
Chile,Latin America and Caribbean,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2.95505,,,,,,,,,,,,,
China,Eastern Asia,83,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,2.17087,,,,,,,,,,,,,
Colombia,Latin America and Caribbean,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,3.17471,,,,,,,,,,,,,
Congo,Sub-Saharan Africa,127,4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753,2.10681,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,3.35168,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,74,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,2.52462,,,,,,,,,,,,,
Cyprus,Western Europe,69,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,2.04497,,,,,,,,,,,,,
Denmark,Western Europe,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,89,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,1.69626,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,51,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2.77366,,,,,,,,,,,,,
Egypt,MENA,120,4.362,0.954,0.498,0.521,0.188,0.127,0.104,1.969,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,46,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,3.22134,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,72,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,1.81985,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,115,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,2.65614,,,,,,,,,,,,,
Finland,Western Europe,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,,,,,,,,,,,,,
France,Western Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2.4744,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,134,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314,1.45332,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,126,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,1.87031,,,,,,,,,,,,,
Germany,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2.50931,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,124,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,2.2002,,,,,,,,,,,,,
Greece,Western Europe,99,5.033,1.24886,0.75473,0.80029,0.05822,0,0.04127,2.12944,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,39,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,3.19863,,,,,,,,,,,,,
Guinea,Sub-Saharan Africa,151,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,2.15604,,,,,,,,,,,,,
Honduras,Latin America and Caribbean,104,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906,2.29551,,,,,,,,,,,,,
Hong Kong,Eastern Asia,75,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,0.92614,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,91,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,1.95473,,,,,,,,,,,,,
Iceland,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,,,,,,,,,,,,,
India,Southern Asia,118,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,2.18032,,,,,,,,,,,,,
Indonesia,Southeastern Asia,79,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,2.03171,,,,,,,,,,,,,
Iran,MENA,105,4.813,1.118,0.389,0.642,0.225,0.385,0.056,1.998,,,,,,,,,,,,,
Iraq,MENA,112,4.575,1.075,0.592,0.511,0.249,0.196,0.136,1.817,,,,,,,,,,,,,
Ireland,Western Europe,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2.15988,,,,,,,,,,,,,
Israel,MENA,11,7.267,1.338,0.995,0.849,0.364,0.323,0.087,3.310,,,,,,,,,,,,,
Italy,Western Europe,50,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,2.34918,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,73,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294,2.35682,,,,,,,,,,,,,
Japan,Eastern Asia,53,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,1.80584,,,,,,,,,,,,,
Jordan,MENA,80,5.303,0.997,0.862,0.607,0.360,0.143,0.133,2.201,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,54,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,2.49325,,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,122,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,1.88326,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,77,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,2.80998,,,,,,,,,,,,,
Kuwait,MENA,41,6.239,1.617,0.878,0.636,0.432,0.160,0.237,2.281,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,85,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762,2.28136,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,68,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,2.20859,,,,,,,,,,,,,
Lebanon,MENA,93,5.129,1.123,0.642,0.762,0.262,0.237,0.031,2.073,,,,,,,,,,,,,
Liberia,Sub-Saharan Africa,150,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852,2.23284,,,,,,,,,,,,,
Libya,MENA,67,5.615,1.067,0.951,0.523,0.407,0.171,0.103,2.394,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,60,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,2.60525,,,,,,,,,,,,,
Luxembourg,Western Europe,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2.11055,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506,2.15075,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,132,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,2.82859,,,,,,,,,,,,,
Malaysia,Southeastern Asia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,2.35384,,,,,,,,,,,,,
Mali,Sub-Saharan Africa,135,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647,2.11087,,,,,,,,,,,,,
Malta,Western Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,1.99032,,,,,,,,,,,,,
Mauritania,Sub-Saharan Africa,130,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955,1.9263,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,66,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203,2.20223,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,3.55906,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,55,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903,3.38007,,,,,,,,,,,,,
Mongolia,Eastern Asia,101,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285,1.53586,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,88,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721,2.25531,,,,,,,,,,,,,
Morocco,MENA,90,5.151,0.841,0.386,0.595,0.256,0.041,0.084,2.949,,,,,,,,,,,,,
Myanmar,Southeastern Asia,119,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243,1.50655,,,,,,,,,,,,,
Nepal,Southern Asia,107,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008,2.32694,,,,,,,,,,,,,
Netherlands,Western Europe,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,2.82428,,,,,,,,,,,,,
Niger,Sub-Saharan Africa,142,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176,2.09469,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,2.88586,,,,,,,,,,,,,
Norway,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,,,,,,,,,,,,,
Pakistan,Southern Asia,92,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,3.18286,,,,,,,,,,,,,
Palestine,MENA,108,4.754,0.670,0.716,0.568,0.177,0.112,0.106,2.404,,,,,,,,,,,,,
Panama,Latin America and Caribbean,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,3.00559,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,70,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,2.16091,,,,,,,,,,,,,
Peru,Latin America and Caribbean,64,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,2.73117,,,,,,,,,,,,,
Philippines,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,2.23484,,,,,,,,,,,,,
Poland,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,2.20035,,,,,,,,,,,,,
Portugal,Western Europe,94,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,1.53015,,,,,,,,,,,,,
Romania,Central and Eastern Europe,71,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,2.45184,,,,,,,,,,,,,
Russia,Central and Eastern Europe,56,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,2.59115,,,,,,,,,,,,,
Saudi Arabia,MENA,34,6.379,1.490,0.848,0.593,0.379,0.155,0.300,2.615,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,128,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681,1.97861,,,,,,,,,,,,,
Serbia,Central and Eastern Europe,86,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,2.27539,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,111,4.635,0.36485,0.628,0,0.30685,0.23897,0.08196,3.01402,,,,,,,,,,,,,
Singapore,Southeastern Asia,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,1.99375,,,,,,,,,,,,,
Slovakia,Central and Eastern Europe,45,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2.61065,,,,,,,,,,,,,
Slovenia,Central and Eastern Europe,63,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,1.79522,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,116,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415,1.64227,,,,,,,,,,,,,
South Korea,Eastern Asia,57,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716,2.35015,,,,,,,,,,,,,
Spain,Western Europe,37,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2.39663,,,,,,,,,,,,,
Sri Lanka,Southern Asia,117,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,0.91681,,,,,,,,,,,,,
Sweden,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,,,,,,,,,,,,,
Switzerland,Western Europe,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,,,,,,,,,,,,,
Taiwan,Eastern Asia,34,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2.61523,,,,,,,,,,,,,
Tajikistan,Central and Eastern Europe,100,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509,2.39106,,,,,,,,,,,,,
Tanzania,Sub-Saharan Africa,149,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099,1.37769,,,,,,,,,,,,,
Thailand,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2.5796,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,155,3.303,0.28123,0,0.24811,0.34678,0.17517,0.11587,2.1354,,,,,,,,,,,,,
Tunisia,MENA,98,5.045,0.977,0.432,0.596,0.236,0.039,0.082,2.684,,,,,,,,,,,,,
Turkiye,MENA,78,5.389,1.165,0.877,0.647,0.239,0.047,0.123,2.291,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,145,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442,1.51416,,,,,,,,,,,,,
Ukraine,Central and Eastern Europe,123,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,1.50066,,,,,,,,,,,,,
United Arab Emirates,MENA,28,6.573,1.574,0.871,0.730,0.562,0.266,0.356,2.215,,,,,,,,,,,,,
United Kingdom,Western Europe,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2.14999,,,,,,,,,,,,,
United States,North America,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2.72782,,,,,,,,,,,,,
Uruguay,Latin America and Caribbean,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2.67139,,,,,,,,,,,,,
Uzbekistan,Central and Eastern Europe,49,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,2.34638,,,,,,,,,,,,,
Venezuela,Latin America and Caribbean,44,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,2.97468,,,,,,,,,,,,,
Vietnam,Southeastern Asia,96,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556,1.9418,,,,,,,,,,,,,
Yemen,MENA,147,3.724,0.579,0.475,0.310,0.229,0.098,0.059,1.973,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,106,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,2.58991,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,131,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,2.4427,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
