Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896,,,,,,,,,,,,,
Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945,,,,,,,,,,,,,
Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536,,,,,,,,,,,,,
Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565,,,,,,,,,,,,,
Portugal,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462,,,,,,,,,,,,,
Romania,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129,,,,,,,,,,,,,
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394,,,,,,,,,,,,,
Saudi Arabia,MENA,35,6.411,1.395,1.084,0.720,0.310,0.137,0.325,2.439,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,1.44395,,,,,,,,,,,,,
Serbia,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2.025,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786,2.51009,,,,,,,,,,,,,
Singapore,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,1.88501,,,,,,,,,,,,,
Slovakia,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2.24639,,,,,,,,,,,,,
Slovenia,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,1.61583,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,1.71956,,,,,,,,,,,,,
South Korea,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2.21978,,,,,,,,,,,,,
Spain,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2.12367,,,,,,,,,,,,,
Sri Lanka,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,0.67108,,,,,,,,,,,,,
Sweden,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2.37119,,,,,,,,,,,,,
Switzerland,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2.51738,,,,,,,,,,,,,
Taiwan,Eastern Asia,38,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,2.32323,,,,,,,,,,,,,
Tajikistan,Central and Eastern Europe,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2.11399,,,,,,,,,,,,,
Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,1.38079,,,,,,,,,,,,,
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,2.31945,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,1.56726,,,,,,,,,,,,,
Tunisia,MENA,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064,2.125,,,,,,,,,,,,,
Turkiye,MENA,76,5.332,1.061,0.946,0.732,0.228,0.123,0.157,2.085,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,1.42766,,,,,,,,,,,,,
Ukraine,Central and Eastern Europe,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,1.5714,,,,,,,,,,,,,
United Arab Emirates,MENA,20,6.901,1.427,1.126,0.809,0.642,0.264,0.386,2.247,,,,,,,,,,,,,
United Kingdom,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,1.96994,,,,,,,,,,,,,
United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011,,,,,,,,,,,,,
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2.32142,,,,,,,,,,,,,
Uzbekistan,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2.23741,,,,,,,,,,,,,
Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,3.19131,,,,,,,,,,,,,
Vietnam,Southeastern Asia,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2.20173,,,,,,,,,,,,,
Yemen,MENA,136,4.077,0.546,0.681,0.401,0.356,0.091,0.079,1.923,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2.44191,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
