Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom ,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,,,
India,Southern Asia,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1.124,,,,,,,,,,,,,,,
Indonesia,Southeastern Asia,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1.381,,,,,,,,,,,,,,,
Iran,MENA,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,1.121,,,,,,,,,,,,,,,
Iraq,MENA,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,1.362,,,,,,,,,,,,,,,
Ireland,Western Europe,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.846,,,,,,,,,,,,,,,
Israel,MENA,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665,,,,,,,,,,,,,,,
Italy,Western Europe,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,1.983,,,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2.125,,,,,,,,,,,,,,,
Japan,Eastern Asia,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,1.398,,,,,,,,,,,,,,,
Jordan,MENA,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,1.406,,,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,1.747,,,,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,1.577,,,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2.471,,,,,,,,,,,,,,,
Kuwait,MENA,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1.662,,,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,1.718,,,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2.073,,,,,,,,,,,,,,,
Lebanon,MENA,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,1.762,,,,,,,,,,,,,,,
Liberia,Sub-Saharan Africa,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,1.901,,,,,,,,,,,,,,,
Libya,MENA,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,1.804,,,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2.202,,,,,,,,,,,,,,,
Luxembourg,Western Europe,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.954,,,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,1.83,,,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,1.414,,,,,,,,,,,,,,,
Malaysia,Southeastern Asia,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,1.327,,,,,,,,,,,,,,,
Mali,Sub-Saharan Africa,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2.06,,,,,,,,,,,,,,,
Malta,Western Europe,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.817,,,,,,,,,,,,,,,
Mauritania,Sub-Saharan Africa,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2.004,,,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,1.795,,,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.761,,,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,71,5.529,0.685,1.328,0.739,0.245,0.181,0,2.351,,,,,,,,,,,,,,,
Mongolia,Eastern Asia,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,1.549,,,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,1.821,,,,,,,,,,,,,,,
Morocco,MENA,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2.313,,,,,,,,,,,,,,,
Myanmar,Southeastern Asia,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,0.651,,,,,,,,,,,,,,,
Nepal,Southern Asia,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,1.751,,,,,,,,,,,,,,,
Netherlands,Western Europe,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.394,,,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.126,,,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2.489,,,,,,,,,,,,,,,
Niger,Sub-Saharan Africa,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2.742,,,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2.531,,,,,,,,,,,,,,,
Norway,Western Europe,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.241,,,,,,,,,,,,,,,
Pakistan,Southern Asia,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2.924,,,,,,,,,,,,,,,
Palestine,MENA,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066,1.726,,,,,,,,,,,,,,,
Panama,Latin America and Caribbean,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.141,,,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,1.858,,,,,,,,,,,,,,,
Peru,Latin America and Caribbean,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2.044,,,,,,,,,,,,,,,
Philippines,Southeastern Asia,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2.092,,,,,,,,,,,,,,,
Poland,Central and Eastern Europe,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2.004,,,,,,,,,,,,,,,
Portugal,Western Europe,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,1.462,,,,,,,,,,,,,,,
Romania,Central and Eastern Europe,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2.301,,,,,,,,,,,,,,,
Russia,Central and Eastern Europe,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,1.84,,,,,,,,,,,,,,,
Saudi Arabia,MENA,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.169,,,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2.009,,,,,,,,,,,,,,,
Serbia,Central and Eastern Europe,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,1.904,,,,,,,,,,,,,,,
